session,method,gender,emotion,n_annotators,agreement,path,audio_path,utterance_id,oracle_transcript,asr_transcript,utterance_confidence,word_confidences,transcription_success
4,script,M,neu,3,2,Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_M018.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_M018.wav,Ses04M_script01_1_M018,Going to ask her to marry me.,Go and ask her to marry me.,0.8665290815489632,"[{'word': 'Go', 'start': 0.0, 'end': 0.8, 'probability': 0.5894100069999695}, {'word': 'and', 'start': 0.8, 'end': 0.86, 'probability': 0.8602210283279419}, {'word': 'ask', 'start': 0.86, 'end': 1.08, 'probability': 0.9918639659881592}, {'word': 'her', 'start': 1.08, 'end': 1.22, 'probability': 0.6309499740600586}, {'word': 'to', 'start': 1.22, 'end': 1.3, 'probability': 0.998112678527832}, {'word': 'marry', 'start': 1.3, 'end': 1.48, 'probability': 0.9985713958740234}, {'word': 'me.', 'start': 1.48, 'end': 1.72, 'probability': 0.9965745210647583}]",True
4,impro,M,fru,3,3,Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_M027.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_M027.wav,Ses04M_impro02_M027,There's nothing I can do.  I-- I,There's nothing I can do.,0.9457652032375335,"[{'word': ""There's"", 'start': 1.9, 'end': 2.26, 'probability': 0.7905007302761078}, {'word': 'nothing', 'start': 2.26, 'end': 2.48, 'probability': 0.9730298519134521}, {'word': 'I', 'start': 2.48, 'end': 2.6, 'probability': 0.9703879356384277}, {'word': 'can', 'start': 2.6, 'end': 2.7, 'probability': 0.9976791739463806}, {'word': 'do.', 'start': 2.7, 'end': 2.84, 'probability': 0.9972283244132996}]",True
2,impro,F,hap,4,2,Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_F030.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_F030.wav,Ses02F_impro03_F030,"Oh, thank you. [LAUGHTER]",Thank you.,0.6828615963459015,"[{'word': 'Thank', 'start': 0.0, 'end': 0.78, 'probability': 0.3910921812057495}, {'word': 'you.', 'start': 0.78, 'end': 1.74, 'probability': 0.9746310114860535}]",True
2,impro,F,neu,3,2,Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_M016.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro03/Ses02F_impro03_M016.wav,Ses02F_impro03_M016,"Uh, huh. I mean, you know, it's spring--It'll be--","Uh-huh. Oh yeah, spring. That's a little bit...",0.5692506863011254,"[{'word': 'Uh', 'start': 0.0, 'end': 0.14, 'probability': 0.1430942714214325}, {'word': '-huh.', 'start': 0.14, 'end': 0.34, 'probability': 0.7416297793388367}, {'word': 'Oh', 'start': 0.66, 'end': 0.74, 'probability': 0.24568748474121094}, {'word': 'yeah,', 'start': 0.74, 'end': 1.12, 'probability': 0.5137490034103394}, {'word': 'spring.', 'start': 1.4, 'end': 1.66, 'probability': 0.4267284870147705}, {'word': ""That's"", 'start': 1.86, 'end': 2.1, 'probability': 0.8262652158737183}, {'word': 'a', 'start': 2.1, 'end': 2.18, 'probability': 0.6852313280105591}, {'word': 'little', 'start': 2.18, 'end': 2.3, 'probability': 0.9812071919441223}, {'word': 'bit...', 'start': 2.3, 'end': 2.76, 'probability': 0.5596634149551392}]",True
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_M035.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_M035.wav,Ses01F_script01_1_M035,"I've been a good son for too long, a good sucker.",It's a good sun for too long. It's a good sucker.,0.8784340274604884,"[{'word': ""It's"", 'start': 0.7000000000000002, 'end': 1.32, 'probability': 0.349694587290287}, {'word': 'a', 'start': 1.32, 'end': 1.32, 'probability': 0.9318557977676392}, {'word': 'good', 'start': 1.32, 'end': 1.44, 'probability': 0.988531231880188}, {'word': 'sun', 'start': 1.44, 'end': 1.74, 'probability': 0.552716076374054}, {'word': 'for', 'start': 1.74, 'end': 1.92, 'probability': 0.9785044193267822}, {'word': 'too', 'start': 1.92, 'end': 2.12, 'probability': 0.9810240268707275}, {'word': 'long.', 'start': 2.12, 'end': 2.44, 'probability': 0.9983949065208435}, {'word': ""It's"", 'start': 2.94, 'end': 3.32, 'probability': 0.9547536969184875}, {'word': 'a', 'start': 3.32, 'end': 3.36, 'probability': 0.9945068955421448}, {'word': 'good', 'start': 3.36, 'end': 3.54, 'probability': 0.9972810745239258}, {'word': 'sucker.', 'start': 3.54, 'end': 4.24, 'probability': 0.935511589050293}]",True
2,impro,M,fru,3,2,Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_M018.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_M018.wav,Ses02M_impro04_M018,"I know, but I mean- if that's the - you know, I'm either like the worst at this or just the most unlucky person on the planet I mean this doesn't","I don't know, but I mean if that's the you know, I'm either like the worst at this or just the most unlucky person on the planet. I mean this doesn't...",0.906495766293618,"[{'word': 'I', 'start': 0.0, 'end': 0.34, 'probability': 0.7532608509063721}, {'word': ""don't"", 'start': 0.34, 'end': 0.5, 'probability': 0.8865775167942047}, {'word': 'know,', 'start': 0.5, 'end': 0.66, 'probability': 0.9859299063682556}, {'word': 'but', 'start': 0.78, 'end': 0.84, 'probability': 0.9905795454978943}, {'word': 'I', 'start': 0.84, 'end': 0.94, 'probability': 0.8957568407058716}, {'word': 'mean', 'start': 0.94, 'end': 1.06, 'probability': 0.9753381013870239}, {'word': 'if', 'start': 1.06, 'end': 1.76, 'probability': 0.5814504027366638}, {'word': ""that's"", 'start': 1.76, 'end': 2.06, 'probability': 0.9829598665237427}, {'word': 'the', 'start': 2.06, 'end': 2.14, 'probability': 0.4238191246986389}, {'word': 'you', 'start': 2.14, 'end': 2.32, 'probability': 0.5623916387557983}, {'word': 'know,', 'start': 2.32, 'end': 2.6, 'probability': 0.9969000816345215}, {'word': ""I'm"", 'start': 2.68, 'end': 3.64, 'probability': 0.9713452756404877}, {'word': 'either', 'start': 3.64, 'end': 3.8, 'probability': 0.9794723987579346}, {'word': 'like', 'start': 3.8, 'end': 4.02, 'probability': 0.9922609925270081}, {'word': 'the', 'start': 4.02, 'end': 4.56, 'probability': 0.972217857837677}, {'word': 'worst', 'start': 4.56, 'end': 4.84, 'probability': 0.9978592991828918}, {'word': 'at', 'start': 4.84, 'end': 5.04, 'probability': 0.991827130317688}, {'word': 'this', 'start': 5.04, 'end': 5.26, 'probability': 0.9954921007156372}, {'word': 'or', 'start': 5.26, 'end': 5.74, 'probability': 0.9545795917510986}, {'word': 'just', 'start': 5.74, 'end': 6.02, 'probability': 0.9831969738006592}, {'word': 'the', 'start': 6.02, 'end': 6.3, 'probability': 0.8659135699272156}, {'word': 'most', 'start': 6.3, 'end': 7.26, 'probability': 0.8440886735916138}, {'word': 'unlucky', 'start': 7.26, 'end': 7.78, 'probability': 0.9443696737289429}, {'word': 'person', 'start': 7.78, 'end': 8.26, 'probability': 0.995586633682251}, {'word': 'on', 'start': 8.26, 'end': 8.6, 'probability': 0.9965215921401978}, {'word': 'the', 'start': 8.6, 'end': 8.72, 'probability': 0.9979785084724426}, {'word': 'planet.', 'start': 8.72, 'end': 9.1, 'probability': 0.995520830154419}, {'word': 'I', 'start': 9.22, 'end': 9.28, 'probability': 0.9929311275482178}, {'word': 'mean', 'start': 9.28, 'end': 9.42, 'probability': 0.9991446733474731}, {'word': 'this', 'start': 9.42, 'end': 9.66, 'probability': 0.8205909729003906}, {'word': ""doesn't..."", 'start': 9.66, 'end': 10.18, 'probability': 0.775507003068924}]",True
1,impro,M,neu,4,4,Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_F018.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro04/Ses01M_impro04_F018.wav,Ses01M_impro04_F018,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,0.9197449497878551,"[{'word': ""We're"", 'start': 0.0, 'end': 0.72, 'probability': 0.7994897961616516}, {'word': 'trying', 'start': 0.72, 'end': 0.98, 'probability': 0.9842272400856018}, {'word': 'to', 'start': 0.98, 'end': 1.08, 'probability': 0.9962298274040222}, {'word': 'have', 'start': 1.08, 'end': 1.2, 'probability': 0.992168128490448}, {'word': 'a', 'start': 1.2, 'end': 1.28, 'probability': 0.9937390089035034}, {'word': 'conversation', 'start': 1.28, 'end': 1.88, 'probability': 0.9976783394813538}, {'word': 'and', 'start': 1.88, 'end': 2.12, 'probability': 0.8199261426925659}, {'word': 'you', 'start': 2.12, 'end': 2.3, 'probability': 0.9877225160598755}, {'word': 'seem', 'start': 2.3, 'end': 2.74, 'probability': 0.8946071863174438}, {'word': 'extremely', 'start': 2.74, 'end': 3.4, 'probability': 0.9971495270729065}, {'word': 'hostile.', 'start': 3.4, 'end': 3.8, 'probability': 0.9806633591651917}, {'word': 'You', 'start': 4.12, 'end': 4.12, 'probability': 0.7992329001426697}, {'word': 'keep', 'start': 4.12, 'end': 5.0, 'probability': 0.705392599105835}, {'word': 'cutting', 'start': 5.0, 'end': 6.62, 'probability': 0.7801258563995361}, {'word': 'me', 'start': 6.62, 'end': 6.88, 'probability': 0.9903737306594849}, {'word': 'off.', 'start': 6.88, 'end': 7.24, 'probability': 0.9971930384635925}]",True
2,impro,F,neu,3,2,Session2/sentences/wav/Ses02F_impro04/Ses02F_impro04_M019.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro04/Ses02F_impro04_M019.wav,Ses02F_impro04_M019,"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though.",Well come on come on thinking about it like this is definitely not gonna help either though,0.911478579044342,"[{'word': 'Well', 'start': 0.0, 'end': 0.58, 'probability': 0.8221538066864014}, {'word': 'come', 'start': 0.58, 'end': 1.22, 'probability': 0.5096979141235352}, {'word': 'on', 'start': 1.22, 'end': 1.46, 'probability': 0.9980623126029968}, {'word': 'come', 'start': 1.46, 'end': 1.76, 'probability': 0.8589487671852112}, {'word': 'on', 'start': 1.76, 'end': 2.02, 'probability': 0.9983114004135132}, {'word': 'thinking', 'start': 2.02, 'end': 2.66, 'probability': 0.8770245313644409}, {'word': 'about', 'start': 2.66, 'end': 2.86, 'probability': 0.9995365142822266}, {'word': 'it', 'start': 2.86, 'end': 2.96, 'probability': 0.990423858165741}, {'word': 'like', 'start': 2.96, 'end': 3.1, 'probability': 0.9775099158287048}, {'word': 'this', 'start': 3.1, 'end': 3.3, 'probability': 0.9881752729415894}, {'word': 'is', 'start': 3.3, 'end': 3.44, 'probability': 0.9339826107025146}, {'word': 'definitely', 'start': 3.44, 'end': 3.72, 'probability': 0.9967132806777954}, {'word': 'not', 'start': 3.72, 'end': 3.9, 'probability': 0.9976221919059753}, {'word': 'gonna', 'start': 3.9, 'end': 4.08, 'probability': 0.7848265767097473}, {'word': 'help', 'start': 4.08, 'end': 4.26, 'probability': 0.9919064044952393}, {'word': 'either', 'start': 4.26, 'end': 4.54, 'probability': 0.9601450562477112}, {'word': 'though', 'start': 4.54, 'end': 4.76, 'probability': 0.8100954294204712}]",True
3,script,M,fru,3,2,Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_F013.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_F013.wav,Ses03M_script02_1_F013,"Pass up what?  These fish swim up to shore, on the beach and then they flop around a little, they swim away and then they die.","Pass up what? This fish swim up to shore on the beach and then they flop around a little, they swim away and then they die.",0.8679392314874209,"[{'word': 'Pass', 'start': 0.0, 'end': 0.68, 'probability': 0.3193676769733429}, {'word': 'up', 'start': 0.68, 'end': 0.88, 'probability': 0.8867157697677612}, {'word': 'what?', 'start': 0.88, 'end': 1.08, 'probability': 0.9023981094360352}, {'word': 'This', 'start': 1.94, 'end': 2.24, 'probability': 0.23649552464485168}, {'word': 'fish', 'start': 2.24, 'end': 2.64, 'probability': 0.9461298584938049}, {'word': 'swim', 'start': 2.64, 'end': 3.24, 'probability': 0.6695283055305481}, {'word': 'up', 'start': 3.24, 'end': 3.42, 'probability': 0.9737489819526672}, {'word': 'to', 'start': 3.42, 'end': 3.58, 'probability': 0.9679813981056213}, {'word': 'shore', 'start': 3.58, 'end': 3.82, 'probability': 0.987003743648529}, {'word': 'on', 'start': 3.82, 'end': 4.02, 'probability': 0.904059112071991}, {'word': 'the', 'start': 4.02, 'end': 4.14, 'probability': 0.996107280254364}, {'word': 'beach', 'start': 4.14, 'end': 4.5, 'probability': 0.9945946335792542}, {'word': 'and', 'start': 4.5, 'end': 4.76, 'probability': 0.5237525701522827}, {'word': 'then', 'start': 4.76, 'end': 4.84, 'probability': 0.9192634224891663}, {'word': 'they', 'start': 4.84, 'end': 4.94, 'probability': 0.982038676738739}, {'word': 'flop', 'start': 4.94, 'end': 5.18, 'probability': 0.9582704901695251}, {'word': 'around', 'start': 5.18, 'end': 5.54, 'probability': 0.9879705309867859}, {'word': 'a', 'start': 5.54, 'end': 5.7, 'probability': 0.9325960278511047}, {'word': 'little,', 'start': 5.7, 'end': 5.84, 'probability': 0.9968298077583313}, {'word': 'they', 'start': 5.94, 'end': 6.0, 'probability': 0.8725811839103699}, {'word': 'swim', 'start': 6.0, 'end': 6.18, 'probability': 0.9602196216583252}, {'word': 'away', 'start': 6.18, 'end': 6.44, 'probability': 0.9978119134902954}, {'word': 'and', 'start': 6.44, 'end': 6.62, 'probability': 0.7315767407417297}, {'word': 'then', 'start': 6.62, 'end': 6.7, 'probability': 0.9527938961982727}, {'word': 'they', 'start': 6.7, 'end': 6.84, 'probability': 0.9962112903594971}, {'word': 'die.', 'start': 6.84, 'end': 7.12, 'probability': 0.9703734517097473}]",True
2,impro,M,sad,3,3,Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M007.wav,D:/master/AI7102/project/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro06/Ses02M_impro06_M007.wav,Ses02M_impro06_M007,"out to- out to dinner you know and do the troops to California, I mean.","We have to dinner, you know, do we have the troops to California?",0.6574460783830056,"[{'word': 'We', 'start': 0.0, 'end': 0.62, 'probability': 0.1957574039697647}, {'word': 'have', 'start': 0.62, 'end': 0.72, 'probability': 0.6279042363166809}, {'word': 'to', 'start': 0.72, 'end': 1.24, 'probability': 0.90923011302948}, {'word': 'dinner,', 'start': 1.24, 'end': 1.54, 'probability': 0.8773482441902161}, {'word': 'you', 'start': 1.86, 'end': 1.88, 'probability': 0.4977353811264038}, {'word': 'know,', 'start': 1.88, 'end': 2.12, 'probability': 0.9978325963020325}, {'word': 'do', 'start': 2.34, 'end': 2.44, 'probability': 0.6473777890205383}, {'word': 'we', 'start': 2.44, 'end': 2.64, 'probability': 0.4396430253982544}, {'word': 'have', 'start': 2.64, 'end': 2.86, 'probability': 0.24420255422592163}, {'word': 'the', 'start': 2.86, 'end': 4.1, 'probability': 0.8271936178207397}, {'word': 'troops', 'start': 4.1, 'end': 4.32, 'probability': 0.332783043384552}, {'word': 'to', 'start': 4.32, 'end': 4.48, 'probability': 0.9695711135864258}, {'word': 'California?', 'start': 4.48, 'end': 4.94, 'probability': 0.9802199006080627}]",True
